,index,date,close,diff,open,high,low,volume
0,0,2018.05.17,1505.0,235.0,2000.0,2000.0,1485.0,4919.0
1,1,2018.05.18,1730.0,225.0,1725.0,1730.0,1280.0,5591.0
2,2,2018.05.21,1985.0,255.0,1985.0,1985.0,1700.0,3.0
3,3,2018.05.23,2250.0,265.0,2280.0,2280.0,1750.0,2274.0
4,4,2018.05.24,2300.0,50.0,2250.0,2350.0,2250.0,1922.0
5,5,2018.05.25,2005.0,295.0,2310.0,2310.0,2000.0,986.0
6,6,2018.05.28,1740.0,265.0,1950.0,1950.0,1710.0,1215.0
7,7,2018.05.29,1660.0,80.0,1800.0,1800.0,1660.0,183.0
8,8,2018.05.30,1530.0,130.0,1530.0,1530.0,1530.0,10.0
9,9,2018.05.31,1710.0,180.0,1755.0,1755.0,1705.0,2031.0
10,10,2018.06.01,1635.0,75.0,1605.0,1635.0,1605.0,678.0
11,11,2018.06.04,1875.0,240.0,1880.0,1880.0,1740.0,111.0
12,12,2018.06.05,1990.0,115.0,2000.0,2000.0,1910.0,1502.0
13,13,2018.06.07,1815.0,175.0,1815.0,1815.0,1815.0,40.0
14,14,2018.06.08,1980.0,165.0,1760.0,1980.0,1760.0,570.0
15,15,2018.06.11,1685.0,295.0,1685.0,1685.0,1685.0,50.0
16,16,2018.06.12,1815.0,130.0,1815.0,1815.0,1815.0,569.0
17,17,2018.06.14,1995.0,180.0,2000.0,2000.0,1810.0,1002.0
18,18,2018.06.15,2000.0,5.0,2290.0,2290.0,1705.0,52.0
19,19,2018.06.18,1985.0,15.0,1940.0,1985.0,1940.0,517.0
20,20,2018.06.19,1985.0,0.0,1925.0,1985.0,1925.0,521.0
21,21,2018.06.20,2000.0,15.0,1690.0,2000.0,1690.0,152.0
22,22,2018.06.21,2020.0,20.0,1700.0,2020.0,1700.0,202.0
23,23,2018.06.22,1720.0,300.0,1720.0,2015.0,1720.0,1102.0
24,24,2018.06.25,1470.0,250.0,1475.0,1850.0,1470.0,2695.0
25,25,2018.06.26,1690.0,220.0,1690.0,1690.0,1690.0,1000.0
26,26,2018.06.27,1440.0,250.0,1440.0,1440.0,1440.0,1.0
27,27,2018.06.28,1655.0,215.0,1655.0,1655.0,1230.0,1793.0
28,28,2018.06.29,1900.0,245.0,1700.0,1900.0,1700.0,697.0
29,29,2018.07.02,1710.0,190.0,2120.0,2120.0,1700.0,13689.0
30,30,2018.07.03,1710.0,0.0,1710.0,1710.0,1710.0,724.0
31,31,2018.07.04,1965.0,255.0,1965.0,1965.0,1965.0,1.0
32,32,2018.07.05,1750.0,215.0,1770.0,1770.0,1680.0,7101.0
33,33,2018.07.06,1700.0,50.0,1700.0,1700.0,1700.0,1000.0
34,34,2018.07.09,1955.0,255.0,1955.0,1955.0,1955.0,1.0
35,35,2018.07.10,1955.0,0.0,1750.0,1955.0,1750.0,3001.0
36,36,2018.07.11,1845.0,110.0,1845.0,1845.0,1845.0,528.0
37,37,2018.07.12,1840.0,5.0,1600.0,1840.0,1600.0,554.0
38,38,2018.07.13,1565.0,275.0,1600.0,1600.0,1565.0,5101.0
39,39,2018.07.16,1485.0,80.0,1470.0,1485.0,1470.0,101.0
40,40,2018.07.17,1500.0,15.0,1450.0,1500.0,1315.0,1301.0
41,41,2018.07.18,1720.0,220.0,1545.0,1720.0,1545.0,2770.0
42,42,2018.07.19,1890.0,170.0,1890.0,1890.0,1890.0,1.0
43,43,2018.07.20,1700.0,190.0,1620.0,1700.0,1620.0,201.0
44,44,2018.07.23,1555.0,145.0,1645.0,1645.0,1555.0,609.0
45,45,2018.07.24,1750.0,195.0,1750.0,1750.0,1750.0,1.0
46,46,2018.07.25,1515.0,235.0,1515.0,1515.0,1515.0,2999.0
47,47,2018.07.26,1555.0,40.0,1690.0,1690.0,1555.0,1599.0
48,48,2018.07.27,1745.0,190.0,1785.0,1785.0,1330.0,2651.0
49,49,2018.07.30,1485.0,260.0,1485.0,1485.0,1485.0,1485.0
50,50,2018.07.31,1480.0,5.0,1485.0,1705.0,1265.0,533.0
51,51,2018.08.01,1475.0,5.0,1700.0,1700.0,1270.0,557.0
52,52,2018.08.02,1690.0,215.0,1690.0,1690.0,1600.0,1779.0
53,53,2018.08.03,1545.0,145.0,1935.0,1935.0,1440.0,2272.0
54,54,2018.08.06,1720.0,175.0,1720.0,1720.0,1720.0,1.0
55,55,2018.08.07,1800.0,80.0,1800.0,1800.0,1800.0,4.0
56,56,2018.08.08,1750.0,50.0,1750.0,1750.0,1530.0,5155.0
57,57,2018.08.09,1750.0,0.0,1680.0,1750.0,1490.0,1001.0
58,58,2018.08.10,1800.0,50.0,1490.0,2005.0,1490.0,514.0
59,59,2018.08.13,1940.0,140.0,1940.0,1950.0,1900.0,498.0
60,60,2018.08.14,1940.0,0.0,1650.0,1940.0,1650.0,41.0
61,61,2018.08.16,1880.0,60.0,1880.0,1880.0,1880.0,532.0
62,62,2018.08.17,1950.0,70.0,1950.0,1950.0,1950.0,1.0
63,63,2018.08.20,1695.0,255.0,1750.0,1750.0,1695.0,14.0
64,64,2018.08.21,1645.0,50.0,1645.0,1645.0,1645.0,911.0
65,65,2018.08.22,1650.0,5.0,1850.0,1850.0,1400.0,1002.0
66,66,2018.08.23,1485.0,165.0,1485.0,1485.0,1485.0,625.0
67,67,2018.08.24,1400.0,85.0,1415.0,1415.0,1265.0,11003.0
68,68,2018.08.27,1350.0,50.0,1350.0,1420.0,1350.0,6041.0
69,69,2018.08.28,1350.0,0.0,1350.0,1350.0,1350.0,14000.0
70,70,2018.08.29,1350.0,0.0,1350.0,1350.0,1350.0,0.0
71,71,2018.08.30,1215.0,135.0,1200.0,1215.0,1200.0,4.0
