,index,date,close,diff,open,high,low,volume
0,0,2000.11.09,2925.0,75.0,3035.0,3050.0,2900.0,14970.0
1,1,2000.11.10,2825.0,100.0,2930.0,2930.0,2805.0,38790.0
2,2,2000.11.13,2710.0,115.0,2810.0,2850.0,2710.0,15510.0
3,3,2000.11.14,2720.0,10.0,2610.0,2800.0,2610.0,23520.0
4,4,2000.11.15,2710.0,10.0,2700.0,2800.0,2690.0,34410.0
5,5,2000.11.16,2600.0,110.0,2660.0,2745.0,2565.0,23210.0
6,6,2000.11.17,2470.0,130.0,2565.0,2645.0,2210.0,113130.0
7,7,2000.11.20,2510.0,40.0,2600.0,2680.0,2480.0,83750.0
8,8,2000.11.21,2445.0,65.0,2510.0,2620.0,2310.0,40280.0
9,9,2000.11.22,2300.0,145.0,2410.0,2485.0,2260.0,43220.0
10,10,2000.11.23,2130.0,170.0,2235.0,2350.0,2100.0,38150.0
11,11,2000.11.24,2130.0,0.0,2150.0,2185.0,2065.0,20330.0
12,12,2000.11.27,2145.0,15.0,2110.0,2250.0,2110.0,21030.0
13,13,2000.11.28,2465.0,320.0,2120.0,2465.0,2120.0,87690.0
14,14,2000.11.29,2350.0,115.0,2665.0,2785.0,2300.0,224130.0
15,15,2000.11.30,2450.0,100.0,2400.0,2600.0,2300.0,65900.0
16,16,2000.12.01,2270.0,180.0,2400.0,2400.0,2205.0,35580.0
17,17,2000.12.04,2235.0,35.0,2100.0,2390.0,2100.0,40720.0
18,18,2000.12.05,2235.0,0.0,2150.0,2340.0,2150.0,23020.0
19,19,2000.12.06,2240.0,5.0,2360.0,2390.0,2230.0,31240.0
20,20,2000.12.07,2310.0,70.0,2280.0,2510.0,2280.0,87070.0
21,21,2000.12.08,2390.0,80.0,2390.0,2450.0,2360.0,47890.0
22,22,2000.12.11,2600.0,210.0,2600.0,2720.0,2480.0,63330.0
23,23,2000.12.12,2690.0,90.0,2750.0,2800.0,2610.0,64670.0
24,24,2000.12.13,3090.0,400.0,2850.0,3090.0,2690.0,101150.0
25,25,2000.12.14,2915.0,175.0,3480.0,3480.0,2900.0,132260.0
26,26,2000.12.15,2760.0,155.0,2915.0,3150.0,2710.0,88810.0
27,27,2000.12.18,2665.0,95.0,2840.0,2875.0,2610.0,82370.0
28,28,2000.12.19,2400.0,265.0,2610.0,2635.0,2385.0,79320.0
29,29,2000.12.20,2365.0,35.0,2260.0,2405.0,2200.0,49570.0
30,30,2000.12.21,2280.0,85.0,2385.0,2385.0,2250.0,26770.0
31,31,2000.12.22,2150.0,130.0,2210.0,2380.0,2150.0,38860.0
32,32,2000.12.26,2200.0,50.0,2150.0,2245.0,2150.0,11630.0
33,33,2001.01.02,2355.0,155.0,2000.0,2500.0,2000.0,20760.0
34,34,2001.01.03,2445.0,90.0,2200.0,2600.0,2150.0,32150.0
35,35,2001.01.04,2470.0,25.0,2550.0,2600.0,2420.0,90230.0
36,36,2001.01.05,2380.0,90.0,2530.0,2530.0,2360.0,42960.0
37,37,2001.01.08,2310.0,70.0,2350.0,2410.0,2300.0,42120.0
38,38,2001.01.09,2410.0,100.0,2300.0,2490.0,2300.0,66890.0
39,39,2001.01.10,2770.0,360.0,2490.0,2770.0,2430.0,148490.0
40,40,2001.01.11,2670.0,100.0,2800.0,3100.0,2555.0,411350.0
41,41,2001.01.12,2645.0,25.0,2750.0,2750.0,2535.0,117750.0
42,42,2001.01.15,2625.0,20.0,2700.0,2720.0,2580.0,79540.0
43,43,2001.01.16,2545.0,80.0,2700.0,2800.0,2515.0,70590.0
44,44,2001.01.17,2570.0,25.0,2350.0,2570.0,2350.0,68500.0
45,45,2001.01.18,2380.0,190.0,2410.0,2560.0,2380.0,23120.0
46,46,2001.01.19,2310.0,70.0,2445.0,2445.0,2300.0,46900.0
47,47,2001.01.22,2415.0,105.0,2310.0,2485.0,2310.0,38040.0
48,48,2001.01.26,2410.0,5.0,2425.0,2485.0,2375.0,46150.0
49,49,2001.01.29,2435.0,25.0,2410.0,2525.0,2380.0,52870.0
50,50,2001.01.30,2410.0,25.0,2500.0,2500.0,2410.0,36330.0
51,51,2001.01.31,2440.0,30.0,2450.0,2480.0,2385.0,42470.0
52,52,2001.02.01,2450.0,10.0,2380.0,2490.0,2380.0,70350.0
53,53,2001.02.02,2445.0,5.0,2450.0,2500.0,2405.0,27220.0
54,54,2001.02.05,2350.0,95.0,2460.0,2480.0,2350.0,28280.0
55,55,2001.02.06,2375.0,25.0,2350.0,2410.0,2320.0,23560.0
56,56,2001.02.07,2330.0,45.0,2375.0,2375.0,2305.0,15890.0
57,57,2001.02.08,2355.0,25.0,2350.0,2460.0,2320.0,29380.0
58,58,2001.02.09,2360.0,5.0,2380.0,2380.0,2320.0,19200.0
59,59,2001.02.12,2330.0,30.0,2305.0,2450.0,2305.0,28050.0
60,60,2001.02.13,2340.0,10.0,2330.0,2380.0,2320.0,19510.0
61,61,2001.02.14,2335.0,5.0,2330.0,2410.0,2330.0,42860.0
62,62,2001.02.15,2355.0,20.0,2370.0,2385.0,2340.0,24060.0
63,63,2001.02.16,2500.0,145.0,2355.0,2620.0,2310.0,148940.0
64,64,2001.02.19,2500.0,0.0,2550.0,2640.0,2500.0,67400.0
65,65,2001.02.20,2500.0,0.0,2500.0,2600.0,2420.0,51140.0
66,66,2001.02.21,2875.0,375.0,2620.0,2875.0,2590.0,212260.0
67,67,2001.02.22,2630.0,245.0,2900.0,3105.0,2510.0,273480.0
68,68,2001.02.23,2820.0,190.0,2630.0,2990.0,2630.0,155470.0
69,69,2001.02.26,2900.0,80.0,2820.0,2910.0,2800.0,71630.0
70,70,2001.02.27,2700.0,200.0,2910.0,3050.0,2700.0,73880.0
71,71,2001.02.28,2590.0,110.0,2700.0,2785.0,2560.0,45180.0
72,72,2001.03.02,2500.0,90.0,2600.0,2635.0,2450.0,37320.0
73,73,2001.03.05,2500.0,0.0,2410.0,2570.0,2410.0,37230.0
74,74,2001.03.06,2525.0,25.0,2520.0,2575.0,2480.0,23430.0
75,75,2001.03.07,2590.0,65.0,2530.0,2700.0,2530.0,65680.0
76,76,2001.03.08,2660.0,70.0,2745.0,2745.0,2500.0,37170.0
77,77,2001.03.09,2570.0,90.0,2650.0,2650.0,2550.0,23200.0
78,78,2001.03.12,2840.0,270.0,2600.0,2955.0,2600.0,146840.0
79,79,2001.03.13,2430.0,410.0,2790.0,2790.0,2415.0,74480.0
80,80,2001.03.14,2655.0,225.0,2500.0,2790.0,2500.0,289190.0
81,81,2001.03.15,2775.0,120.0,2600.0,2985.0,2500.0,311140.0
82,82,2001.03.16,3190.0,415.0,2880.0,3190.0,2600.0,339280.0
83,83,2001.03.19,3100.0,90.0,3385.0,3640.0,2960.0,1091730.0
84,84,2001.03.20,3000.0,100.0,3100.0,3230.0,2920.0,251590.0
85,85,2001.03.21,3125.0,125.0,3000.0,3390.0,3000.0,470440.0
86,86,2001.03.22,2750.0,375.0,3150.0,3210.0,2740.0,174100.0
87,87,2001.03.23,2600.0,150.0,2750.0,2830.0,2600.0,104930.0
88,88,2001.03.26,2605.0,5.0,2650.0,2750.0,2585.0,72030.0
89,89,2001.03.27,2520.0,85.0,2670.0,2685.0,2520.0,84230.0
90,90,2001.03.28,2550.0,30.0,2650.0,2650.0,2510.0,58160.0
91,91,2001.03.29,2450.0,100.0,2520.0,2600.0,2450.0,42770.0
92,92,2001.03.30,2390.0,60.0,2415.0,2480.0,2330.0,58710.0
93,93,2001.04.02,2505.0,115.0,2480.0,2605.0,2420.0,100130.0
94,94,2001.04.03,2410.0,95.0,2510.0,2675.0,2330.0,105290.0
95,95,2001.04.04,2300.0,110.0,2400.0,2400.0,2255.0,71740.0
96,96,2001.04.06,2285.0,15.0,2380.0,2390.0,2285.0,58270.0
97,97,2001.04.09,2330.0,45.0,2345.0,2390.0,2270.0,53180.0
98,98,2001.04.10,2290.0,40.0,2330.0,2350.0,2260.0,34940.0
99,99,2001.04.11,2355.0,65.0,2320.0,2355.0,2300.0,38790.0
100,100,2001.04.12,2355.0,0.0,2360.0,2420.0,2330.0,34920.0
101,101,2001.04.13,2435.0,80.0,2360.0,2435.0,2340.0,47170.0
102,102,2001.04.16,2440.0,5.0,2450.0,2510.0,2420.0,35040.0
103,103,2001.04.17,2430.0,10.0,2480.0,2480.0,2385.0,23970.0
104,104,2001.04.18,2440.0,10.0,2445.0,2495.0,2400.0,41120.0
105,105,2001.04.19,2460.0,20.0,2550.0,2570.0,2460.0,71230.0
106,106,2001.04.20,2490.0,30.0,2500.0,2525.0,2460.0,44310.0
107,107,2001.04.23,2435.0,55.0,2470.0,2510.0,2420.0,41180.0
108,108,2001.04.24,2430.0,5.0,2440.0,2500.0,2400.0,42880.0
109,109,2001.04.25,2370.0,60.0,2440.0,2440.0,2340.0,45130.0
110,110,2001.04.26,2390.0,20.0,2350.0,2395.0,2350.0,13650.0
111,111,2001.04.27,2400.0,10.0,2420.0,2420.0,2365.0,18160.0
112,112,2001.04.30,2415.0,15.0,2410.0,2490.0,2375.0,26730.0
113,113,2001.05.02,2410.0,5.0,2415.0,2460.0,2400.0,31470.0
114,114,2001.05.03,2390.0,20.0,2415.0,2425.0,2390.0,15960.0
