,index,date,close,diff,open,high,low,volume
0,0,1996.07.02,3450.0,40.0,3400.0,3610.0,3400.0,175200.0
1,1,1996.07.03,3550.0,100.0,3390.0,3580.0,3390.0,97300.0
2,2,1996.07.04,3720.0,170.0,3580.0,3750.0,3580.0,121800.0
3,3,1996.07.05,3590.0,130.0,3720.0,3720.0,3590.0,147600.0
4,4,1996.07.06,3550.0,40.0,3490.0,3640.0,3490.0,54200.0
5,5,1996.07.08,3540.0,10.0,3550.0,3700.0,3520.0,85800.0
6,6,1996.07.09,3600.0,60.0,3560.0,3610.0,3550.0,62100.0
7,7,1996.07.10,3700.0,100.0,3650.0,3790.0,3650.0,143400.0
8,8,1996.07.11,3590.0,110.0,3700.0,3800.0,3590.0,101800.0
9,9,1996.07.12,3500.0,90.0,3550.0,3600.0,3500.0,56900.0
10,10,1996.07.13,3600.0,100.0,3400.0,3600.0,3400.0,84200.0
11,11,1996.07.15,3450.0,150.0,3600.0,3600.0,3450.0,22100.0
12,12,1996.07.16,3250.0,200.0,3450.0,3450.0,3250.0,78400.0
13,13,1996.07.18,3260.0,10.0,3260.0,3350.0,3260.0,49900.0
14,14,1996.07.19,3450.0,190.0,3300.0,3450.0,3300.0,51600.0
15,15,1996.07.20,3600.0,150.0,3500.0,3630.0,3500.0,86800.0
16,16,1996.07.22,3650.0,50.0,3650.0,3730.0,3600.0,128100.0
17,17,1996.07.23,3640.0,10.0,3650.0,3710.0,3600.0,63500.0
18,18,1996.07.24,3660.0,20.0,3680.0,3700.0,3600.0,79600.0
19,19,1996.07.25,3870.0,210.0,3660.0,3870.0,3600.0,177300.0
20,20,1996.07.26,3820.0,50.0,4050.0,4070.0,3810.0,208900.0
21,21,1996.07.27,3630.0,190.0,3600.0,3800.0,3600.0,56600.0
22,22,1996.07.29,3530.0,100.0,3650.0,3700.0,3530.0,104100.0
23,23,1996.07.30,3450.0,80.0,3500.0,3550.0,3450.0,89400.0
24,24,1996.07.31,3590.0,140.0,3450.0,3640.0,3450.0,50600.0
25,25,1996.08.01,3650.0,60.0,3590.0,3790.0,3590.0,99900.0
26,26,1996.08.02,3550.0,100.0,3670.0,3680.0,3550.0,59900.0
27,27,1996.08.03,3640.0,90.0,3570.0,3640.0,3550.0,33500.0
28,28,1996.08.05,3650.0,10.0,3430.0,3740.0,3430.0,47000.0
29,29,1996.08.06,3500.0,150.0,3660.0,3660.0,3500.0,58600.0
30,30,1996.08.07,3600.0,100.0,3500.0,3600.0,3450.0,38000.0
31,31,1996.08.08,3740.0,140.0,3500.0,3800.0,3500.0,138500.0
32,32,1996.08.09,3650.0,90.0,3640.0,3800.0,3640.0,26800.0
33,33,1996.08.10,3750.0,100.0,3600.0,3780.0,3600.0,38400.0
34,34,1996.08.12,3650.0,100.0,3690.0,3800.0,3650.0,37900.0
35,35,1996.08.13,3750.0,100.0,3700.0,3790.0,3610.0,66600.0
36,36,1996.08.14,3970.0,220.0,3760.0,3970.0,3750.0,203400.0
37,37,1996.08.16,3850.0,120.0,4040.0,4040.0,3850.0,304700.0
38,38,1996.08.17,3820.0,30.0,3860.0,4000.0,3820.0,93200.0
39,39,1996.08.19,3830.0,10.0,3800.0,4000.0,3750.0,148700.0
40,40,1996.08.20,3750.0,80.0,3720.0,3950.0,3720.0,107500.0
41,41,1996.08.21,3640.0,110.0,3730.0,3750.0,3620.0,67700.0
42,42,1996.08.22,3600.0,40.0,3650.0,3700.0,3570.0,66200.0
43,43,1996.08.23,3810.0,210.0,3700.0,3810.0,3680.0,73000.0
44,44,1996.08.24,4030.0,220.0,3940.0,4030.0,3940.0,141600.0
45,45,1996.08.26,4170.0,140.0,4270.0,4270.0,4150.0,671000.0
46,46,1996.08.27,4090.0,80.0,4170.0,4350.0,4060.0,237400.0
47,47,1996.08.28,3850.0,240.0,4100.0,4230.0,3850.0,197200.0
48,48,1996.08.29,3740.0,110.0,3750.0,3800.0,3620.0,183100.0
49,49,1996.08.30,3960.0,220.0,3740.0,3960.0,3740.0,146300.0
50,50,1996.08.31,3960.0,0.0,3960.0,4060.0,3880.0,148900.0
51,51,1996.09.02,4020.0,60.0,4050.0,4130.0,3960.0,265400.0
52,52,1996.09.03,3860.0,160.0,4020.0,4020.0,3860.0,106600.0
53,53,1996.09.04,3900.0,40.0,3880.0,3930.0,3800.0,165000.0
54,54,1996.09.05,4130.0,230.0,3900.0,4130.0,3840.0,408700.0
55,55,1996.09.06,4370.0,240.0,4230.0,4370.0,4230.0,332800.0
56,56,1996.09.07,4630.0,260.0,4610.0,4630.0,4520.0,189800.0
57,57,1996.09.09,4630.0,0.0,4890.0,4890.0,4560.0,815900.0
58,58,1996.09.10,4410.0,220.0,4680.0,4900.0,4410.0,718500.0
59,59,1996.09.11,4620.0,210.0,4500.0,4670.0,4420.0,478300.0
60,60,1996.09.12,4650.0,30.0,4730.0,4750.0,4500.0,410900.0
61,61,1996.09.13,4820.0,170.0,4700.0,4920.0,4700.0,500600.0
62,62,1996.09.14,4600.0,220.0,4850.0,4850.0,4600.0,150700.0
63,63,1996.09.16,4490.0,110.0,4430.0,4580.0,4410.0,322500.0
64,64,1996.09.17,4660.0,170.0,4400.0,4660.0,4400.0,220200.0
65,65,1996.09.18,4700.0,40.0,4660.0,4930.0,4660.0,464800.0
66,66,1996.09.19,4760.0,60.0,4700.0,4900.0,4700.0,332600.0
67,67,1996.09.20,5040.0,280.0,4760.0,5040.0,4760.0,755400.0
68,68,1996.09.21,4800.0,240.0,5110.0,5110.0,4800.0,188900.0
69,69,1996.09.23,4680.0,120.0,4850.0,4860.0,4660.0,250700.0
70,70,1996.09.24,4730.0,50.0,4810.0,4860.0,4650.0,260100.0
71,71,1996.09.25,4780.0,50.0,4810.0,4900.0,4770.0,215100.0
72,72,1996.09.30,4700.0,80.0,4780.0,4850.0,4700.0,120800.0
73,73,1996.10.01,4700.0,0.0,4750.0,4850.0,4600.0,195000.0
74,74,1996.10.02,4750.0,50.0,4700.0,4850.0,4700.0,210800.0
75,75,1996.10.04,4850.0,100.0,4850.0,5000.0,4750.0,258700.0
76,76,1996.10.05,4930.0,80.0,4930.0,4950.0,4890.0,142700.0
77,77,1996.10.07,4860.0,70.0,5010.0,5050.0,4860.0,156600.0
78,78,1996.10.08,4800.0,60.0,4860.0,5000.0,4640.0,138900.0
79,79,1996.10.09,4850.0,50.0,4870.0,4950.0,4780.0,167900.0
