,index,date,close,diff,open,high,low,volume
0,0,2007.07.18,14800.0,1350.0,16150.0,16400.0,14500.0,711989.0
1,1,2007.07.19,15050.0,250.0,15100.0,15650.0,14750.0,512331.0
2,2,2007.07.20,14300.0,750.0,15000.0,15100.0,14200.0,350922.0
3,3,2007.07.23,14450.0,150.0,14100.0,15450.0,14050.0,600884.0
4,4,2007.07.24,14000.0,450.0,14500.0,14650.0,13500.0,333442.0
5,5,2007.07.25,13750.0,250.0,13800.0,13850.0,13300.0,210067.0
6,6,2007.07.26,13600.0,150.0,13850.0,14500.0,13600.0,261695.0
7,7,2007.07.27,13050.0,550.0,13300.0,13400.0,12700.0,203578.0
8,8,2007.07.30,13400.0,350.0,12850.0,14050.0,12750.0,310562.0
9,9,2007.07.31,12950.0,450.0,13500.0,13600.0,12900.0,166556.0
10,10,2007.08.01,12400.0,550.0,12950.0,13400.0,12400.0,201969.0
11,11,2007.08.02,14250.0,1850.0,12700.0,14250.0,12550.0,560397.0
12,12,2007.08.03,13850.0,400.0,14650.0,14800.0,13750.0,467716.0
13,13,2007.08.06,13600.0,250.0,13400.0,14250.0,13350.0,250306.0
14,14,2007.08.07,13250.0,350.0,13900.0,14100.0,13250.0,203878.0
15,15,2007.08.08,12900.0,350.0,13300.0,13450.0,12750.0,191731.0
16,16,2007.08.09,12850.0,50.0,13050.0,13150.0,12700.0,146525.0
17,17,2007.08.10,12500.0,350.0,12650.0,13400.0,12450.0,278030.0
18,18,2007.08.13,12650.0,150.0,12800.0,13400.0,12600.0,169856.0
19,19,2007.08.14,13100.0,450.0,12800.0,13750.0,12500.0,416438.0
20,20,2007.08.16,11150.0,1950.0,12550.0,12750.0,11150.0,238628.0
21,21,2007.08.17,10000.0,1150.0,11350.0,11450.0,9920.0,318202.0
22,22,2007.08.20,10500.0,500.0,10400.0,10800.0,10200.0,308292.0
23,23,2007.08.21,11000.0,500.0,10600.0,11150.0,10200.0,462531.0
24,24,2007.08.22,10950.0,50.0,11200.0,11350.0,10750.0,408206.0
25,25,2007.08.23,10950.0,0.0,11250.0,11850.0,10800.0,515606.0
26,26,2007.08.24,10450.0,500.0,11150.0,11400.0,10450.0,231104.0
27,27,2007.08.27,10800.0,350.0,10800.0,11050.0,10550.0,287914.0
28,28,2007.08.28,11400.0,600.0,11200.0,12400.0,11000.0,1958505.0
29,29,2007.08.29,10950.0,450.0,10800.0,11150.0,10600.0,462966.0
30,30,2007.08.30,10750.0,200.0,11300.0,11500.0,10750.0,294131.0
31,31,2007.08.31,11050.0,300.0,10750.0,11100.0,10650.0,227863.0
32,32,2007.09.03,11350.0,300.0,11300.0,11350.0,10950.0,199146.0
33,33,2007.09.04,11000.0,350.0,11350.0,11400.0,10900.0,182187.0
34,34,2007.09.05,10750.0,250.0,11150.0,11350.0,10750.0,188361.0
35,35,2007.09.06,10900.0,150.0,10700.0,10950.0,10650.0,107164.0
36,36,2007.09.07,11500.0,600.0,10900.0,11600.0,10850.0,532667.0
37,37,2007.09.10,11550.0,50.0,11150.0,11550.0,10900.0,354891.0
38,38,2007.09.11,12150.0,600.0,12100.0,12500.0,11900.0,1147097.0
39,39,2007.09.12,12150.0,0.0,12350.0,12800.0,12000.0,640119.0
40,40,2007.09.13,12350.0,200.0,12400.0,13300.0,12250.0,731222.0
41,41,2007.09.14,11650.0,700.0,12550.0,12750.0,11650.0,412305.0
42,42,2007.09.17,11950.0,300.0,11650.0,12000.0,11400.0,305894.0
43,43,2007.09.18,12400.0,450.0,11950.0,12600.0,11750.0,388995.0
44,44,2007.09.19,11800.0,600.0,12800.0,12800.0,11800.0,387332.0
45,45,2007.09.20,11350.0,450.0,11850.0,12150.0,11350.0,214763.0
46,46,2007.09.21,10850.0,500.0,11350.0,11500.0,10850.0,239107.0
47,47,2007.09.27,11150.0,300.0,10850.0,11200.0,10850.0,117849.0
48,48,2007.09.28,11100.0,50.0,11100.0,11500.0,11100.0,186515.0
49,49,2007.10.01,11000.0,100.0,11050.0,11200.0,10900.0,150297.0
50,50,2007.10.02,11700.0,700.0,11150.0,11700.0,10950.0,337511.0
51,51,2007.10.04,11750.0,50.0,11700.0,11900.0,11500.0,209203.0
52,52,2007.10.05,10900.0,850.0,11800.0,11800.0,10800.0,230818.0
53,53,2007.10.08,10600.0,300.0,11100.0,11150.0,10600.0,234572.0
54,54,2007.10.09,10500.0,100.0,10650.0,10850.0,10450.0,155822.0
55,55,2007.10.10,10350.0,150.0,10600.0,10800.0,10350.0,151368.0
56,56,2007.10.11,10250.0,100.0,10300.0,10750.0,10250.0,145674.0
57,57,2007.10.12,9810.0,440.0,10350.0,10550.0,9810.0,251285.0
58,58,2007.10.15,9220.0,590.0,9810.0,9880.0,9200.0,242814.0
59,59,2007.10.16,8260.0,960.0,9180.0,9200.0,8150.0,256497.0
60,60,2007.10.17,8260.0,0.0,8150.0,8560.0,8150.0,303159.0
61,61,2007.10.18,8220.0,40.0,8330.0,8690.0,8210.0,343491.0
62,62,2007.10.19,8620.0,400.0,8280.0,9250.0,8230.0,491040.0
63,63,2007.10.22,8550.0,70.0,8400.0,8550.0,7330.0,167059.0
64,64,2007.10.23,9000.0,450.0,8950.0,9650.0,8750.0,472457.0
65,65,2007.10.24,8300.0,700.0,9080.0,9200.0,8250.0,240106.0
66,66,2007.10.25,8020.0,280.0,8520.0,8570.0,7990.0,167296.0
67,67,2007.10.26,8650.0,630.0,8030.0,9120.0,8030.0,450671.0
68,68,2007.10.29,8800.0,150.0,8800.0,8950.0,8670.0,171547.0
69,69,2007.10.30,8890.0,90.0,8900.0,9150.0,8730.0,123604.0
70,70,2007.10.31,8730.0,160.0,8950.0,8990.0,8710.0,110520.0
71,71,2007.11.01,8500.0,230.0,8650.0,8930.0,8400.0,98474.0
72,72,2007.11.02,8150.0,350.0,8290.0,8450.0,8100.0,85654.0
73,73,2007.11.05,8230.0,80.0,8190.0,8430.0,8190.0,62466.0
74,74,2007.11.06,8590.0,360.0,8260.0,8700.0,8260.0,49640.0
75,75,2007.11.07,8410.0,180.0,8620.0,8780.0,8410.0,58122.0
76,76,2007.11.08,8200.0,210.0,8400.0,8490.0,8150.0,61133.0
77,77,2007.11.09,8900.0,700.0,8370.0,9030.0,8210.0,175205.0
78,78,2007.11.12,8560.0,340.0,8700.0,8850.0,8430.0,59841.0
79,79,2007.11.13,8350.0,210.0,8620.0,8700.0,8160.0,50832.0
80,80,2007.11.14,8800.0,450.0,8520.0,8800.0,8400.0,93424.0
81,81,2007.11.15,8450.0,350.0,8750.0,9050.0,8450.0,114293.0
82,82,2007.11.16,8300.0,150.0,8310.0,8480.0,8260.0,35868.0
83,83,2007.11.19,8450.0,150.0,8350.0,8580.0,8330.0,45289.0
84,84,2007.11.20,8150.0,300.0,8250.0,8400.0,8100.0,48955.0
85,85,2007.11.21,8000.0,150.0,8330.0,8330.0,8000.0,53780.0
86,86,2007.11.22,7700.0,300.0,7990.0,8060.0,7700.0,63514.0
87,87,2007.11.23,7260.0,440.0,7700.0,7700.0,7060.0,97035.0
88,88,2007.11.26,7380.0,120.0,7400.0,7690.0,7340.0,37229.0
89,89,2007.11.27,7200.0,180.0,7340.0,7340.0,7010.0,50182.0
90,90,2007.11.28,7220.0,20.0,7250.0,7340.0,7200.0,32510.0
91,91,2007.11.29,7450.0,230.0,7350.0,7450.0,7280.0,32910.0
92,92,2007.11.30,7710.0,260.0,7500.0,7710.0,7400.0,26108.0
93,93,2007.12.03,7860.0,150.0,7800.0,7870.0,7620.0,41752.0
94,94,2007.12.04,7690.0,170.0,7790.0,7980.0,7560.0,51031.0
95,95,2007.12.05,7560.0,130.0,7610.0,7790.0,7430.0,58218.0
96,96,2007.12.06,8170.0,610.0,8450.0,8680.0,8150.0,192570.0
97,97,2007.12.07,7660.0,510.0,8160.0,8300.0,7650.0,124782.0
98,98,2007.12.10,7890.0,230.0,7760.0,8010.0,7630.0,58697.0
99,99,2007.12.11,8000.0,110.0,8010.0,8060.0,7750.0,36600.0
100,100,2007.12.12,7760.0,240.0,7870.0,7900.0,7730.0,30880.0
101,101,2007.12.13,7830.0,70.0,7770.0,7970.0,7770.0,39699.0
102,102,2007.12.14,7750.0,80.0,7830.0,7970.0,7600.0,27757.0
103,103,2007.12.17,7500.0,250.0,7680.0,7750.0,7450.0,30792.0
104,104,2007.12.18,7330.0,170.0,7300.0,7410.0,7260.0,50218.0
105,105,2007.12.20,7410.0,80.0,7500.0,7760.0,7410.0,50283.0
106,106,2007.12.21,7360.0,50.0,7110.0,7590.0,7110.0,37159.0
107,107,2007.12.24,7420.0,60.0,7370.0,7650.0,7300.0,31074.0
108,108,2007.12.26,7490.0,70.0,7420.0,7680.0,7340.0,33383.0
109,109,2007.12.27,7670.0,180.0,7700.0,7790.0,7560.0,25381.0
110,110,2007.12.28,7700.0,30.0,7670.0,7870.0,7530.0,16482.0
111,111,2008.01.02,7680.0,20.0,7750.0,7880.0,7600.0,45422.0
112,112,2008.01.03,7600.0,80.0,7650.0,7780.0,7500.0,21415.0
113,113,2008.01.04,7800.0,200.0,7600.0,7910.0,7600.0,52340.0
114,114,2008.01.07,7600.0,200.0,7750.0,7760.0,7550.0,20285.0
115,115,2008.01.08,7420.0,180.0,7560.0,7750.0,7420.0,31836.0
116,116,2008.01.09,7590.0,170.0,7420.0,7620.0,7360.0,35810.0
117,117,2008.01.10,7810.0,220.0,7750.0,7840.0,7640.0,41827.0
