,index,date,close,diff,open,high,low,volume
0,0,2002.01.03,6210.0,10.0,6300.0,6640.0,6120.0,749430.0
1,1,2002.01.04,6090.0,120.0,6360.0,6500.0,6040.0,259841.0
2,2,2002.01.07,6250.0,160.0,6500.0,6500.0,6120.0,359663.0
3,3,2002.01.08,5950.0,300.0,6300.0,6300.0,5950.0,267752.0
4,4,2002.01.09,6000.0,50.0,5950.0,6230.0,5870.0,320513.0
5,5,2002.01.10,5740.0,260.0,5950.0,6000.0,5700.0,192432.0
6,6,2002.01.11,5690.0,50.0,5700.0,5850.0,5570.0,161868.0
7,7,2002.01.14,5550.0,140.0,5690.0,5700.0,5550.0,138466.0
8,8,2002.01.15,5520.0,30.0,5550.0,5600.0,5520.0,407755.0
9,9,2002.01.16,5520.0,0.0,5520.0,5530.0,5520.0,389031.0
10,10,2002.01.17,5520.0,0.0,5520.0,5530.0,5520.0,677539.0
11,11,2002.01.18,5060.0,460.0,4950.0,5390.0,4910.0,348453.0
12,12,2002.01.21,4950.0,110.0,5100.0,5100.0,4810.0,250804.0
13,13,2002.01.22,5540.0,590.0,5100.0,5540.0,4900.0,448063.0
14,14,2002.01.23,6200.0,660.0,5900.0,6200.0,5750.0,1561318.0
15,15,2002.01.24,6940.0,740.0,6680.0,6940.0,6580.0,399002.0
16,16,2002.01.25,7770.0,830.0,7770.0,7770.0,7650.0,232057.0
17,17,2002.01.28,8700.0,930.0,8700.0,8700.0,8700.0,9071.0
18,18,2002.01.29,8500.0,200.0,9740.0,9740.0,8130.0,1537028.0
19,19,2002.01.30,8680.0,180.0,8500.0,9390.0,8240.0,951899.0
20,20,2002.02.01,8350.0,330.0,8050.0,9370.0,7960.0,1007554.0
21,21,2002.02.04,7990.0,360.0,8760.0,8760.0,7360.0,382006.0
22,22,2002.02.06,8860.0,870.0,8000.0,9500.0,8000.0,1053148.0
23,23,2002.02.08,8500.0,360.0,8700.0,8900.0,8360.0,672411.0
24,24,2002.02.14,8290.0,210.0,8790.0,8900.0,8290.0,597918.0
25,25,2002.02.18,7820.0,470.0,8290.0,8350.0,7820.0,469582.0
26,26,2002.02.20,9370.0,1550.0,9500.0,9800.0,8950.0,1777215.0
27,27,2002.02.22,10600.0,1230.0,9410.0,10600.0,9310.0,688905.0
28,28,2002.02.25,10200.0,400.0,10850.0,11300.0,10150.0,896466.0
29,29,2002.02.27,11450.0,1250.0,10250.0,11450.0,10250.0,1455655.0
30,30,2002.03.04,13800.0,2350.0,13800.0,14300.0,13400.0,1297878.0
