,index,date,close,diff,open,high,low,volume
0,0,2016.10.14,4745.0,145.0,4500.0,5150.0,4500.0,7756079.0
1,1,2016.10.17,6160.0,1415.0,4950.0,6160.0,4885.0,14746772.0
2,2,2016.10.18,5580.0,580.0,6670.0,6740.0,5450.0,21988466.0
3,3,2016.10.19,5770.0,190.0,5580.0,5980.0,5510.0,8558944.0
4,4,2016.10.20,6180.0,410.0,5900.0,6180.0,5600.0,11558966.0
5,5,2016.10.21,7080.0,900.0,5950.0,7700.0,5840.0,31007521.0
6,6,2016.10.24,7750.0,670.0,7210.0,8100.0,6960.0,20463435.0
7,7,2016.10.25,7300.0,450.0,7730.0,8300.0,7260.0,16342893.0
8,8,2016.10.26,7350.0,50.0,7350.0,7910.0,6660.0,9078015.0
9,9,2016.10.27,6700.0,650.0,7130.0,7590.0,6700.0,5159064.0
10,10,2016.10.28,6900.0,200.0,6500.0,7450.0,6500.0,8511303.0
11,11,2016.10.31,6530.0,370.0,6980.0,7240.0,6530.0,4376807.0
12,12,2016.11.01,5770.0,760.0,6540.0,6750.0,5320.0,6138414.0
13,13,2016.11.02,7500.0,1730.0,6550.0,7500.0,6420.0,19434842.0
14,14,2016.11.03,7220.0,280.0,7660.0,8110.0,7080.0,18404544.0
15,15,2016.11.04,6850.0,370.0,7110.0,7350.0,6600.0,5712246.0
16,16,2016.11.07,6650.0,200.0,6860.0,7130.0,6650.0,5030817.0
17,17,2016.11.08,6930.0,280.0,6810.0,7200.0,6750.0,7330510.0
18,18,2016.11.09,6370.0,560.0,6980.0,7060.0,5600.0,6418462.0
19,19,2016.11.10,6460.0,90.0,6410.0,6760.0,6410.0,3323810.0
20,20,2016.11.11,6080.0,380.0,6490.0,6640.0,6050.0,3276638.0
21,21,2016.11.14,5970.0,110.0,6100.0,6430.0,5820.0,3392271.0
22,22,2016.11.15,6180.0,210.0,6270.0,6490.0,6110.0,3432642.0
23,23,2016.11.16,6100.0,80.0,6220.0,6280.0,6050.0,1742583.0
24,24,2016.11.17,6060.0,40.0,6120.0,6230.0,6000.0,1369256.0
25,25,2016.11.18,7300.0,1240.0,6040.0,7760.0,5800.0,9902048.0
26,26,2016.11.21,6940.0,360.0,7010.0,7390.0,6740.0,6059716.0
27,27,2016.11.22,6470.0,470.0,7000.0,7080.0,6470.0,3854888.0
28,28,2016.11.23,6100.0,370.0,6370.0,6650.0,6100.0,3430136.0
