,name,code
206,라이브플렉스,050120.KQ
207,럭슬,033600.KQ
208,레드로버,060300.KQ
209,레드캡투어,038390.KQ
210,레이언스,228850.KQ
211,로보로보,215100.KQ
212,메디앙스,014100.KQ
213,메디포럼제약,047920.KQ
214,메이슨캐피탈,021880.KQ
215,메타바이오메드,059210.KQ
216,모두투어,080160.KQ
217,무림SP,001810.KQ
218,미래생명자원,218150.KQ
219,미래에셋대우스팩3호,328380.KQ
220,미래에셋벤처투자,100790.KQ
221,미코,059090.KQ
222,바른손,018700.KQ
223,바른테크놀로지,029480.KQ
224,버킷스튜디오,066410.KQ
225,부스타,008470.KQ
226,비덴트,121800.KQ
227,비즈니스온,138580.KQ
228,비트컴퓨터,032850.KQ
229,사람인에이치알,143240.KQ
230,삼륭물산,014970.KQ
231,삼양옵틱스,225190.KQ
232,삼영이엔씨,065570.KQ
233,삼일,032280.KQ
234,삼일기업공사,002290.KQ
235,삼지전자,037460.KQ
236,삼진,032750.KQ
237,삼화네트웍스,046390.KQ
238,상신이디피,091580.KQ
239,서린바이오,038070.KQ
240,서울바이오시스,092190.KQ
241,서호전기,065710.KQ
242,성우하이텍,015750.KQ
243,세경하이테크,148150.KQ
244,세명전기,017510.KQ
245,손오공,066910.KQ
246,솔루에타,154040.KQ
247,수성,084180.KQ
248,슈펙스비앤피,058530.KQ
249,슈프리마,236200.KQ
250,신라에스지,025870.KQ
251,신라젠,215600.KQ
252,신영스팩5호,323280.KQ
253,아가방컴퍼니,013990.KQ
254,아모텍,052710.KQ
255,아미코젠,092040.KQ
256,아이에이,038880.KQ
257,아이에이네트웍스,123010.KQ
258,아이오케이,078860.KQ
259,아이티엠반도체,084850.KQ
260,액토즈소프트,052790.KQ
261,액트로,290740.KQ
262,앱클론,174900.KQ
263,에스에스알,275630.KQ
264,에스제이그룹,306040.KQ
265,에스티팜,237690.KQ
266,에이치엘비,028300.KQ
267,에이프런티어,036180.KQ
268,에프에스티,036810.KQ
269,엔에이치스팩12호,273060.KQ
270,엔에이치스팩14호,319400.KQ
271,엔지켐생명과학,183490.KQ
272,엔케이맥스,182400.KQ
273,엠벤처투자,019590.KQ
274,연우,115960.KQ
275,영신금속,007530.KQ
276,예림당,036000.KQ
277,오르비텍,046120.KQ
278,오성첨단소재,052420.KQ
279,오션브릿지,241790.KQ
280,와이디온라인,052770.KQ
281,우리손에프앤지,073560.KQ
282,우수AMS,066590.KQ
283,원일특강,012620.KQ
284,원풍물산,008290.KQ
285,윌링스,313760.KQ
286,유니테스트,086390.KQ
287,유안타제6호스팩,340360.KQ
288,유티아이,179900.KQ
289,육일씨엔에쓰,191410.KQ
290,이글루시큐리티,067920.KQ
291,이글벳,044960.KQ
292,이랜시스,264850.KQ
293,이매진아시아,036260.KQ
294,이에스브이,223310.KQ
295,이에스에이,052190.KQ
296,이엠텍,091120.KQ
297,이즈미디어,181340.KQ
298,이지케어텍,099750.KQ
299,인선이엔티,060150.KQ
300,인포바인,115310.KQ
301,인포뱅크,039290.KQ
302,잉크테크,049550.KQ
303,정다운,208140.KQ
304,제이스텍,090470.KQ
305,제일바이오,052670.KQ
306,젬백스지오,041590.KQ
307,줌인터넷,239340.KQ
308,지니뮤직,043610.KQ
309,지니언스,263860.KQ
310,지란지교시큐리티,208350.KQ
311,지스마트글로벌,114570.KQ
312,지트리비앤티,115450.KQ
313,참좋은여행,094850.KQ
314,컬러레이,900310.KQ
315,케이비제19호스팩,330990.KQ
